YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00  32  4.5  5.3  1.51  6.67  5.64 999 1020.2  21.5  23.3  19.5 99.0 99.00
2005 01 01 01 00  54  3.5  4.4  1.61  9.09  6.05 999 1020.3  22.2  23.4  19.8 99.0 99.00
2005 01 01 02 00 108  3.6  4.9  1.82  9.09  6.09 999 1020.1  22.8  23.4  20.8 99.0 99.00
2005 01 01 03 00 163  6.6  7.6  1.98  9.09  6.30 999 1020.5  23.3  23.4  20.7 99.0 99.00
2005 01 01 04 00 164  6.7  7.6  1.98  8.33  6.26 999 1020.7  23.1  23.4  20.2 99.0 99.00
2005 01 01 05 00 169  7.2  8.5  1.99 10.00  6.36 999 1021.0  23.1  23.4  20.7 99.0 99.00
2005 01 01 06 00 157  7.9  9.3  1.82  9.09  5.94 999 1020.7  23.4  23.4  20.4 99.0 99.00
2005 01 01 07 00 153  8.0  9.7  1.95  9.09  6.12 999 1020.8  23.4  23.4  20.3 99.0 99.00
2005 01 01 08 00 145  8.5 10.2  1.93  9.09  5.73 999 1020.2  23.3  23.4  20.1 99.0 99.00
2005 01 01 09 00 160  7.8 10.1  1.95  9.09  5.57 999 1020.0  23.4  23.4  20.0 99.0 99.00
2005 01 01 10 00 163  7.4  9.0  2.06  9.09  5.77 999 1020.2  23.4  23.4  20.2 99.0 99.00
2005 01 01 11 00 154  7.0  8.5  2.03  8.33  5.83 999 1020.4  23.4  23.4  20.3 99.0 99.00
2005 01 01 12 00 151  6.2  7.7  2.27  9.09  6.26 999 1020.7  23.4  23.4  20.5 99.0 99.00
2005 01 01 13 00 145  5.3  6.6  1.78  9.09  5.56 999 1021.5  23.5  23.4  20.8 99.0 99.00
2005 01 01 14 00 149  6.2  7.3  1.94  9.09  5.93 999 1021.7  23.6  23.4  20.7 99.0 99.00
2005 01 01 15 00 139  6.5  8.2  1.88  9.09  5.82 999 1022.5  23.8  23.4  20.8 99.0 99.00
2005 01 01 16 00 133  6.9  8.1  1.81  8.33  5.81 999 1023.0  23.9  23.4  20.8 99.0 99.00
2005 01 01 17 00 138  6.2  7.3  1.87  8.33  5.68 999 1022.8  23.9  23.5  20.8 99.0 99.00
2005 01 01 18 00 139  6.2  7.4  1.77  9.09  5.51 999 1022.0  23.9  23.5  21.0 99.0 99.00
2005 01 01 19 00 132  6.9  8.3  1.66  8.33  5.54 999 1021.3  23.9  23.6  20.8 99.0 99.00
2005 01 01 20 00 123  6.9  8.1  1.72  9.09  5.54 999 1020.4  23.7  23.6  21.2 99.0 99.00
2005 01 01 21 00 128  7.0  8.3  1.57  9.09  5.19 999 1020.3  23.7  23.6  21.0 99.0 99.00
2005 01 01 22 00 128  7.3  8.5  1.46  8.33  5.01 999 1020.4  23.7  23.6  21.0 99.0 99.00
