YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00 117  4.0  5.0  1.17  6.25  5.38  92 1019.4  23.5  24.5  19.1 99.0 99.00
2005 01 01 01 00 105  4.1  4.9  1.14  7.69  5.33 107 1019.7  23.4  24.5  19.1 99.0 99.00
2005 01 01 02 00 125  4.5  5.3  1.19  7.14  5.47  93 1020.1  23.5  24.5  18.6 99.0 99.00
2005 01 01 03 00 136  3.9  4.7  1.22  6.25  5.66  69 1020.5  23.4  24.4  18.9 99.0 99.00
2005 01 01 04 00 141  4.8  5.9  1.13  7.69  5.46  88 1020.9  23.5  24.4  18.8 99.0 99.00
2005 01 01 05 00 126  5.1  6.8  1.24  6.67  5.73  79 1020.9  23.5  24.4  19.0 99.0 99.00
2005 01 01 06 00 118  6.1  7.1  1.26  5.88  5.62  87 1020.5  23.5  24.4  18.8 99.0 99.00
2005 01 01 07 00 127  7.7  8.8  1.30  7.69  5.71  80 1020.2  23.5  24.4  18.5 99.0 99.00
2005 01 01 08 00 127  7.6  9.1  1.32  7.69  5.43  83 1019.8  23.4  24.5  18.5 99.0 99.00
2005 01 01 09 00 129  6.4  7.7  1.31 10.00  5.31  91 1019.6  23.4  24.4  18.6 99.0 99.00
2005 01 01 10 00 126  6.1  7.1  1.23  9.09  5.36  85 1019.4  23.3  24.4  18.5 99.0 99.00
2005 01 01 11 00 124  5.6  6.5  1.28  8.33  5.54  84 1019.1  23.4  24.4  18.8 99.0 99.00
2005 01 01 12 00 122  5.0  6.0  1.17  9.09  5.38  91 1019.5  23.1  24.4  19.8 99.0 99.00
2005 01 01 13 00 109  5.9  6.8  1.24  8.33  5.59  77 1019.9  23.3  24.4  20.9 99.0 99.00
2005 01 01 14 00 120  7.1  8.6  1.19  9.09  5.69  93 1020.5  24.1  24.4  20.8 99.0 99.00
2005 01 01 15 00 114  8.2  9.5  1.22 10.00  5.50  94 1020.9  24.2  24.5  20.6 99.0 99.00
2005 01 01 16 00 111  8.7 10.0  1.40 10.00  5.62  91 1021.2  24.2  24.5  20.7 99.0 99.00
2005 01 01 17 00 115  9.7 11.3  1.53  9.09  5.76  94 1021.0  24.2  24.5  20.8 99.0 99.00
2005 01 01 18 00 115  9.6 11.7  1.47  9.09  5.35  91 1020.3  24.1  24.6  21.1 99.0 99.00
2005 01 01 19 00 113  9.7 11.0  1.70  9.09  5.61  89 1019.7  24.1  24.6  21.4 99.0 99.00
2005 01 01 20 00 113  9.3 11.0  1.72  5.56  5.47 107 1018.9  24.1  24.6  21.6 99.0 99.00
2005 01 01 21 00 121  9.4 11.5  1.65  5.56  5.32 108 1018.5  24.3  24.6  21.7 99.0 99.00
2005 01 01 22 00 123  9.7 11.4  1.80  8.33  5.59  86 1018.5  24.3  24.6  21.4 99.0 99.00
2005 01 01 23 00 125  9.9 11.9  1.81  8.33  5.43  91 1018.6  24.3  24.6  21.2 99.0 99.00
2005 01 02 00 00 123  9.8 11.4  1.90  9.09  5.70  87 1019.3  24.2  24.5  21.5 99.0 99.00
2005 01 02 01 00 121  9.1 10.5  1.81  6.25  5.51 110 1019.7  24.1  24.5  21.5 99.0 99.00
2005 01 02 02 00 118  9.3 10.4  1.76  6.67  5.40  95 1020.1  24.1  24.5  21.6 99.0 99.00
2005 01 02 03 00 119  9.4 10.7  1.78  8.33  5.50  85 1020.6  24.0  24.5  21.3 99.0 99.00
2005 01 02 04 00 120  9.5 11.2  1.59  5.56  5.28 112 1020.7  24.0  24.5  21.3 99.0 99.00
2005 01 02 05 00 115  9.8 11.5  1.83  5.88  5.45 108 1020.8  23.9  24.5  21.1 99.0 99.00
2005 01 02 06 00 113  9.2 10.8  1.85  6.67  5.60 100 1020.7  23.9  24.5  21.0 99.0 99.00
2005 01 02 07 00 110  8.3 10.0  1.79  6.67  5.51 106 1020.9  23.9  24.5  21.0 99.0 99.00
2005 01 02 08 00 110  8.6  9.8  1.80  7.69  5.51  89 1020.7  23.8  24.5  20.9 99.0 99.00
2005 01 02 09 00 116  8.9 10.4  1.89  6.67  5.57 110 1020.6  23.9  24.5  20.8 99.0 99.00
2005 01 02 10 00 116  9.1 10.4  1.75  6.25  5.53 112 1020.4  23.9  24.5  20.5 99.0 99.00
2005 01 02 11 00 117  8.8  9.9  1.68  5.88  5.38 115 1020.6  23.9  24.5  20.4 99.0 99.00
2005 01 02 12 00 113  8.6 10.0  1.70  5.88  5.38 108 1020.6  23.8  24.5  20.9 99.0 99.00
2005 01 02 13 00 114  8.7  9.9  1.79  5.88  5.34 108 1021.1  23.9  24.5  20.6 99.0 99.00
2005 01 02 14 00 119  9.8 12.0  1.73  6.25  5.40 111 1021.7  23.9  24.5  20.7 99.0 99.00
2005 01 02 15 00 115  8.4 10.2  1.79  6.25  5.28  97 1022.6  24.2  24.5  20.4 99.0 99.00
2005 01 02 16 00 114  9.1 10.3  1.74  6.25  5.32 105 1022.9  24.2  24.5  20.5 99.0 99.00
2005 01 02 17 00 117  8.8 10.2  1.65  6.25  5.22  99 1022.6  24.3  24.6  20.6 99.0 99.00
2005 01 02 18 00 122  8.7 10.4  1.57  5.88  5.25 107 1021.9  24.2  24.6  20.8 99.0 99.00
2005 01 02 19 00 116  8.6 10.3  1.70  5.88  5.44 109 1021.1  24.2  24.6  20.7 99.0 99.00
2005 01 02 20 00 118  8.2  9.5  1.54  6.25  5.30 101 1020.9  24.2  24.6  20.8 99.0 99.00
2005 01 02 21 00 118  7.9  9.3  1.77  6.67  5.47  94 1020.7  24.1  24.6  21.2 99.0 99.00
2005 01 02 22 00 111  7.1  8.3  1.54  5.88  5.28 117 1020.8  24.2  24.6  21.2 99.0 99.00
2005 01 02 23 00 113  7.6  8.9  1.58  6.25  5.50 103 1021.0  24.2  24.6  21.1 99.0 99.00
2005 01 03 00 00 107  7.9  8.9  1.54  5.88  5.55 107 1021.4  24.0  24.5  21.3 99.0 99.00
