YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00  77  7.2  8.3  1.07  6.25  4.33 158 1025.2  19.5  20.3  16.5 99.0 99.00
2005 01 01 01 00  68  7.4  8.8  1.11  5.88  4.24 159 1025.5  19.8  20.3  16.6 99.0 99.00
2005 01 01 02 00  69  8.1  9.8  1.13  3.85  4.22  85 1025.8  20.0  20.3  16.2 99.0 99.00
2005 01 01 03 00  57  7.1  8.8  1.03  3.70  4.04  82 1026.6  19.6  20.3  15.8 99.0 99.00
2005 01 01 04 00  73  8.3  9.7  1.05  3.70  3.97  75 1025.9  19.6  20.3  16.5 99.0 99.00
2005 01 01 05 00  78  8.7 10.2  1.11  3.85  3.96  69 1025.7  19.5  20.3  16.5 99.0 99.00
2005 01 01 06 00  89  7.2  8.8  1.06  4.55  4.06  88 1025.6  19.5  20.3  16.7 99.0 99.00
2005 01 01 07 00 113  8.8 10.6  1.06  4.35  4.01  87 1025.2  19.9  20.3  16.3 99.0 99.00
2005 01 01 08 00 113  6.9  8.2  0.97  4.55  3.95  96 1025.2  19.9  20.3  16.5 99.0 99.00
2005 01 01 09 00 108  5.9  7.1  1.05  4.55  3.98  87 1025.2  19.8  20.3  16.6 99.0 99.00
2005 01 01 10 00  83  6.4  7.5  0.92  4.35  3.93  92 1025.2  19.6  20.3  16.5 99.0 99.00
2005 01 01 11 00  73  6.3  7.3  0.88  4.17  3.88  78 1025.7  18.9  19.9  16.4 99.0 99.00
2005 01 01 12 00  74  7.9  8.8  0.85  4.17  3.84  89 1025.8  18.8  19.9  16.1 99.0 99.00
2005 01 01 13 00  74  7.1  8.2  0.99  4.00  3.76  80 1026.7  18.6  19.9  16.1 99.0 99.00
2005 01 01 14 00  72  7.5  8.5  0.99  3.85  3.87  91 1027.3  18.4  19.9  15.8 99.0 99.00
2005 01 01 15 00  86  6.9  8.0  1.07  4.17  3.82  76 1028.0  18.8  19.9  16.1 99.0 99.00
2005 01 01 16 00  79  7.7  9.1  1.05  4.17  3.99  89 1028.2  18.9  19.9  16.2 99.0 99.00
2005 01 01 17 00  79  7.1  9.0  1.10  4.17  4.05  96 1027.5  19.1  19.9  16.1 99.0 99.00
2005 01 01 18 00  85  7.0  8.5  1.01  4.55  4.09  77 1026.9  19.1  19.9  16.3 99.0 99.00
2005 01 01 19 00  88  6.3  7.4  1.05  4.35  4.17  87 1026.0  19.2  19.9  16.1 99.0 99.00
2005 01 01 20 00  73  6.5  7.6  1.06  4.55  4.19  84 1026.0  19.1  19.9  16.0 99.0 99.00
2005 01 01 21 00  74  6.3  7.7  1.01  4.35  4.20  82 1025.9  19.3  19.9  16.1 99.0 99.00
2005 01 01 22 00  80  6.5  7.5  0.96  4.35  4.20  88 1025.9  19.5  19.9  16.3 99.0 99.00
2005 01 01 23 00  71  6.5  7.2  0.92  4.35  4.12  95 1025.9  19.6  19.9  16.3 99.0 99.00
2005 01 02 00 00  61  5.9  6.8  0.88  4.17  4.20  94 1026.2  19.6  19.8  16.6 99.0 99.00
2005 01 02 01 00  65  6.3  7.7  0.81  4.00  4.12 103 1026.6  19.8  19.9  16.5 99.0 99.00
2005 01 02 02 00  57  4.6  5.5  0.82  3.85  4.13  85 1026.8  19.7  19.9  16.1 99.0 99.00
2005 01 02 03 00  46  4.6  5.7  0.79  5.56  4.40 161 1027.3  19.8  19.9  16.2 99.0 99.00
2005 01 02 04 00  54  6.1  7.2  0.75  5.56  4.45 160 1026.8  19.9  19.9  15.8 99.0 99.00
2005 01 02 05 00  60  7.0  8.0  0.75  5.56  4.30 161 1026.8  19.8  19.9  15.7 99.0 99.00
2005 01 02 06 00  68  6.3  7.3  0.77  3.23  3.87  68 1026.7  19.6  19.9  16.2 99.0 99.00
2005 01 02 07 00  80  6.3  7.3  0.74  6.67  4.09 189 1026.1  19.5  19.9  16.4 99.0 99.00
2005 01 02 08 00  82  7.6  8.7  0.80  5.88  3.89 179 1025.8  19.1  19.8  16.1 99.0 99.00
2005 01 02 09 00  91  7.7  8.8  0.82  3.57  3.85  84 1025.8  18.9  19.8  16.1 99.0 99.00
2005 01 02 10 00  92  6.6  7.6  0.91  3.57  3.80  88 1026.6  18.8  19.8  16.2 99.0 99.00
2005 01 02 11 00  93  6.6  7.5  0.87  3.85  3.87  91 1026.8  18.8  19.8  16.3 99.0 99.00
2005 01 02 12 00  96  6.5  7.6  0.82  4.17  3.74 107 1027.3  18.9  19.8  16.5 99.0 99.00
2005 01 02 13 00  95  7.0  8.2  0.81  3.85  3.77  98 1027.5  18.9  19.8  16.7 99.0 99.00
2005 01 02 14 00  99  7.1  8.0  0.81  3.85  3.71 108 1028.2  19.1  19.8  16.5 99.0 99.00
2005 01 02 15 00  97  6.7  7.7  0.80  3.70  3.69  93 1028.8  19.1  19.9  16.3 99.0 99.00
2005 01 02 16 00  95  6.4  7.7  0.83  3.85  3.91  95 1029.0  19.2  19.9  16.2 99.0 99.00
2005 01 02 17 00  85  6.5  7.7  0.80  4.17  3.74 145 1028.8  19.1  19.9  16.3 99.0 99.00
2005 01 02 18 00  87  5.8  6.7  0.75  3.85  3.74 117 1028.3  19.2  19.9  16.0 99.0 99.00
2005 01 02 19 00  87  5.2  5.9  0.78  4.00  3.94 127 1027.3  19.1  19.9  16.0 99.0 99.00
2005 01 02 20 00  83  4.3  5.0  0.78  5.26  4.21 164 1027.2  19.3  19.9  15.9 99.0 99.00
2005 01 02 21 00  71  5.1  5.9  0.80  5.00  4.22 158 1026.7  19.1  19.9  16.1 99.0 99.00
2005 01 02 22 00  60  5.2  6.0  0.73  5.00  4.01 163 1026.7  19.1  20.3  16.2 99.0 99.00
2005 01 02 23 00  52  5.2  6.0  0.73  5.26  4.12 159 1026.8  19.1  20.3  16.2 99.0 99.00
2005 01 03 00 00  40  4.1  4.7  0.75  5.26  4.23 165 1027.3  19.5  20.3  15.9 99.0 99.00
2005 01 03 01 00  31  4.2  4.8  0.73  7.14  4.26 200 1027.7  19.7  20.3  15.8 99.0 99.00
2005 01 03 02 00  28  4.8  5.8  0.67  7.69  4.46 205 1028.2  19.6  20.3  16.2 99.0 99.00
2005 01 03 03 00  30  6.4  7.3  0.69  5.00  4.51 163 1028.4  19.5  20.0  16.0 99.0 99.00
2005 01 03 04 00  36  7.4  8.7  0.70  7.69  3.97 200 1028.6  19.6  19.9  16.1 99.0 99.00
2005 01 03 05 00  52  7.4  8.8  0.77  6.25  3.86 186 1028.3  19.7  19.9  16.0 99.0 99.00
2005 01 03 06 00  74  6.9  8.0  0.87  3.45  3.87  51 1027.4  19.7  19.9  15.6 99.0 99.00
2005 01 03 07 00  90  6.6  8.0  0.83  3.45  3.92  56 1027.2  19.6  19.9  15.1 99.0 99.00
2005 01 03 08 00 101  7.3  8.4  0.78  3.57  4.00  58 1026.9  19.5  19.9  15.4 99.0 99.00
2005 01 03 09 00  92  6.1  7.3  0.81  3.57  3.96  69 1027.4  19.5  19.9  15.5 99.0 99.00
2005 01 03 10 00  85  5.6  6.4  0.75  3.57  3.86  60 1027.4  19.1  19.9  15.7 99.0 99.00
2005 01 03 11 00  77  5.6  6.5  0.76  3.45  3.88  77 1027.4  19.0  19.9  15.8 99.0 99.00
2005 01 03 12 00  80  5.8  6.4  0.70  3.33  3.84  82 1027.4  19.1  19.9  15.7 99.0 99.00
2005 01 03 13 00  79  6.5  7.5  0.73  3.33  3.69  76 1028.1  18.7  19.8  15.7 99.0 99.00
2005 01 03 14 00  80  5.8  6.7  0.72  3.33  3.69  86 1028.3  18.8  19.8  15.6 99.0 99.00
2005 01 03 15 00  88  6.3  7.3  0.76  3.57  3.76  96 1028.3  18.9  19.8  15.5 99.0 99.00
2005 01 03 16 00  80  6.0  7.0  0.72  3.57  3.64  90 1028.5  18.8  19.8  15.8 99.0 99.00
2005 01 03 17 00  80  6.0  7.3  0.75  3.57  3.83  83 1027.8  18.7  19.9  15.9 99.0 99.00
2005 01 03 18 00  79  6.7  7.7  0.86  4.00  3.87 120 1026.8  18.8  19.9  15.9 99.0 99.00
2005 01 03 19 00  78  5.7  6.7  0.79  3.85  3.83  95 1025.9  18.8  19.9  15.6 99.0 99.00
2005 01 03 20 00  72  5.3  6.3  0.81  4.00  3.91 106 1025.8  19.1  19.9  15.5 99.0 99.00
2005 01 03 21 00  70  5.3  6.5  0.76  3.85  3.90  95 1025.7  19.3  19.9  15.8 99.0 99.00
2005 01 03 22 00  74  6.2  7.2  0.68  3.85  4.02  87 1025.3  19.5  19.9  15.7 99.0 99.00
2005 01 03 23 00  41  4.1  5.0  0.69  3.85  3.98  89 1025.7  19.5  19.9  16.0 99.0 99.00
2005 01 04 00 00  41  3.7  4.2  0.64  3.70  4.00  79 1025.9  19.5  19.9  16.2 99.0 99.00
2005 01 04 01 00  27  4.3  4.9  0.58  8.33  4.19 219 1026.7  19.6  19.9  16.4 99.0 99.00
2005 01 04 02 00   6  5.0  5.7  0.53  7.69  4.25 213 1027.3  19.5  19.9  16.7 99.0 99.00
2005 01 04 03 00  17  5.1  6.0  0.52  8.33  4.11 213 1027.2  19.5  19.9  16.7 99.0 99.00
2005 01 04 04 00  22  5.3  6.0  0.49  7.69  4.11 202 1027.1  19.6  19.9  16.8 99.0 99.00
2005 01 04 05 00  30  4.7  5.6  0.52  7.69  3.82 209 1026.8  19.6  19.8  16.7 99.0 99.00
2005 01 04 06 00  43  6.1  7.2  0.51  7.69  3.73 206 1026.4  19.6  19.8  16.2 99.0 99.00
2005 01 04 07 00  66  6.6  8.5  0.66  2.94  3.71  52 1025.7  19.5  19.8  16.3 99.0 99.00
2005 01 04 08 00  91  6.9  8.1  0.64  3.03  3.68  58 1025.2  19.5  19.8  16.3 99.0 99.00
2005 01 04 09 00  92  5.8  7.0  0.68  3.23  3.74  59 1025.1  19.4  19.8  16.4 99.0 99.00
2005 01 04 10 00  93  4.9  5.7  0.68  3.33  3.74  75 1025.2  19.1  19.8  16.1 99.0 99.00
2005 01 04 11 00  91  5.0  6.3  0.61  8.33  3.97 199 1025.1  19.0  19.8  16.5 99.0 99.00
2005 01 04 12 00  81  5.0  5.6  0.56  7.69  3.93 207 1025.4  18.8  19.8  16.5 99.0 99.00
2005 01 04 13 00  81  5.3  6.4  0.60  8.33  3.85 197 1025.8  19.0  19.8  16.3 99.0 99.00
2005 01 04 14 00  93  6.0  6.9  0.58  9.09  3.70 207 1025.9  19.1  19.8  16.2 99.0 99.00
2005 01 04 15 00  93  5.4  6.2  0.61  9.09  3.80 195 1026.8  19.1  19.8  16.0 99.0 99.00
2005 01 04 16 00  88  5.1  5.9  0.60  3.13  3.79  85 1026.8  19.1  19.8  16.0 99.0 99.00
2005 01 04 17 00  93  5.2  5.9  0.57  7.69  3.92 212 1025.9  19.1  19.8  15.8 99.0 99.00
2005 01 04 18 00  73  4.4  5.3  0.57  8.33  3.93 207 1025.2  18.9  19.9  15.9 99.0 99.00
2005 01 04 19 00  80  4.0  4.5  0.57  9.09  4.19 214 1024.3  18.9  19.9  15.6 99.0 99.00
2005 01 04 20 00  90  4.2  4.8  0.53  8.33  4.11 204 1023.6  18.8  19.9  15.9 99.0 99.00
2005 01 04 21 00  72  4.1  4.6  0.53  8.33  4.16 209 1023.6  19.0  19.9  16.2 99.0 99.00
2005 01 04 23 00  79  3.8  4.2  0.50  8.33  4.23 208 1023.7  19.0  20.3  16.3 99.0 99.00
2005 01 05 00 00  71  3.3  3.9  0.50  8.33  4.33 201 1024.0  19.1  20.3  16.2 99.0 99.00
2005 01 05 01 00  55  2.7  3.2  0.51  9.09  4.62 212 1024.2  19.2  20.3  15.7 99.0 99.00
2005 01 05 02 00  36  2.2  2.8  0.49  8.33  4.40 211 1024.2  19.1  20.3  15.9 99.0 99.00
2005 01 05 03 00  53  3.3  3.7  0.56  8.33  5.21 206 1023.7  19.1  20.3  16.1 99.0 99.00
2005 01 05 04 00  50  3.6  4.2  0.50  8.33  5.08 207 1023.6  19.0  19.9  16.2 99.0 99.00
2005 01 05 05 00  52  3.9  4.4  0.50  8.33  5.41 205 1023.0  19.2  19.8  16.0 99.0 99.00
2005 01 05 06 00  62  3.8  4.3  0.49  8.33  5.31 206 1022.5  19.3  19.8  15.9 99.0 99.00
2005 01 05 07 00  51  3.0  3.4  0.51  9.09  5.61 210 1022.1  19.4  19.8  16.1 99.0 99.00
2005 01 05 08 00  63  5.6  6.6  0.49  8.33  5.64 209 1022.0  18.9  19.8  16.4 99.0 99.00
2005 01 05 09 00  65  4.2  4.8  0.47  8.33  5.11 211 1021.2  19.1  19.8  15.8 99.0 99.00
2005 01 05 10 00  61  3.7  4.4  0.54  8.33  4.86 210 1021.2  19.1  19.8  15.6 99.0 99.00
2005 01 05 11 00  94  3.4  4.0  0.52  8.33  4.52 206 1021.2  19.2  19.8  16.3 99.0 99.00
2005 01 05 12 00 128  4.3  5.4  0.55  8.33  4.63 203 1021.2  19.6  19.8  17.3 99.0 99.00
2005 01 05 13 00 138  5.7  6.7  0.53  8.33  4.49 216 1021.9  19.8  19.8  17.8 99.0 99.00
2005 01 05 14 00 145  5.8  6.6  0.61  7.69  4.00 216 1021.9  19.9  19.8  17.8 99.0 99.00
2005 01 05 15 00 143  6.1  7.5  0.68  7.69  3.86 216 1022.0  20.2  19.8  18.1 99.0 99.00
2005 01 05 16 00 145  6.6  7.7  0.72  3.33  3.86 134 1021.9  20.3  19.8  18.2 99.0 99.00
2005 01 05 21 00 163  2.3  2.7  0.70  3.85  4.21 142 1019.5  20.7  20.3  18.2 99.0 99.00
2005 01 05 22 00 151  2.5  3.0  0.70  7.14  4.19 213 1019.5  20.6  20.3  18.1 99.0 99.00
