ride_id,rideable_type,date_time,ended_at,start_station_ne,start_station_id,end_station_ne,end_station_id,latitude,longitude,end_lat,end_lng,member_casual
54E3D948A5BAE8C5,docked_bike,5/7/2020 18:32,5/7/2020 18:52,Wabash Ave & Grand Ave,199,Rush St & Cedar St,172,41.8915,-87.6268,41.9023,-87.6277,member
830B4A7800AF22C6,docked_bike,5/10/2020 11:43,5/10/2020 11:51,Ashland Ave & Division St,210,Honore St & Division St,17,41.9035,-87.6677,41.9031,-87.6739,member
80EBFDF9303CADE5,docked_bike,5/24/2020 14:08,5/24/2020 14:09,Green St & Madison St,198,Green St & Randolph St,112,41.8819,-87.6488,41.8837,-87.6487,member
AD1440362EAD6F4B,docked_bike,5/21/2020 16:54,5/21/2020 16:54,Indiana Ave & 26th St,147,Indiana Ave & 26th St,147,41.8457,-87.6225,41.8457,-87.6225,member
62034A1B3400F484,docked_bike,5/20/2020 11:12,5/20/2020 11:25,Dearborn St & Erie St,110,Clark St & Ida B Wells Dr,50,41.894,-87.6293,41.8759,-87.6306,member
10FACB18E22754E5,docked_bike,5/20/2020 12:18,5/20/2020 12:41,LaSalle St & Jackson Blvd,283,Franklin St & Jackson Blvd,36,41.8782,-87.6319,41.8777,-87.6353,member
F9736D6A86AC2CFC,docked_bike,5/27/2020 6:54,5/27/2020 7:20,Wentworth Ave & 24th St (Temp),132,Wabash Ave & Grand Ave,199,41.8501,-87.6321,41.8915,-87.6268,member
977E8DED11EEB966,docked_bike,5/26/2020 19:37,5/26/2020 19:41,Shields Ave & 31st St,402,Emerald Ave & 31st St,339,41.8385,-87.6354,41.8382,-87.6451,member
04441A011CAF3ACD,docked_bike,5/15/2020 9:52,5/15/2020 10:03,Wells St & Elm St,182,Mies van der Rohe Way & Chicago Ave,173,41.9032,-87.6343,41.8969,-87.6217,member
56FE4FAA3B99A843,docked_bike,5/25/2020 11:48,5/25/2020 12:22,LaSalle St & Washington St,98,Wabash Ave & 9th St,321,41.8827,-87.6325,41.8708,-87.6257,member
8F988796D7DB941C,docked_bike,5/5/2020 12:24,5/5/2020 12:59,Green St & Randolph St,112,Indiana Ave & 26th St,147,41.8837,-87.6487,41.8457,-87.6225,member
F35CE58E16472A24,docked_bike,5/22/2020 18:53,5/22/2020 19:26,Green St & Randolph St,112,Green St & Randolph St,112,41.8837,-87.6487,41.8837,-87.6487,member
14AC0DDA6442F840,docked_bike,5/22/2020 7:24,5/22/2020 7:46,Indiana Ave & 26th St,147,Wabash Ave & Grand Ave,199,41.8457,-87.6225,41.8915,-87.6268,member
531B47439F4D82D1,docked_bike,5/16/2020 14:57,5/16/2020 15:28,Morgan St & Lake St,71,Green St & Randolph St,112,41.8855,-87.6523,41.8837,-87.6487,member
368B4F9C0C228DF0,docked_bike,5/16/2020 13:11,5/16/2020 13:30,Green St & Randolph St,112,Canal St & Harrison St,169,41.8837,-87.6487,41.8743,-87.6396,member
9DCC7FE6254B4172,docked_bike,5/11/2020 6:40,5/11/2020 7:02,Wentworth Ave & 24th St (Temp),132,Wabash Ave & Grand Ave,199,41.8501,-87.6321,41.8915,-87.6268,member
14A56E4A70B2E28F,docked_bike,5/11/2020 18:40,5/11/2020 19:09,Wells St & Evergreen Ave,291,Larrabee St & Webster Ave,144,41.9067,-87.6348,41.9218,-87.6441,member
